0	[38737, 35589, 22939, 49678, 49574, 44887, 44846, 42697, 35633, 35477]
1	[49574, 19, 13, 12, 3, 2]
2	[5, 1]
3	[89, 85, 83, 38, 30, 29, 16, 10, 1]
4	[89, 85, 83, 46, 38, 30, 19, 16, 13]
5	[44887, 35589, 34394, 31232, 30691, 29791, 29724, 28193, 12846, 2]
6	[19]
7	[]
8	[12, 16, 80, 77, 74, 27, 18, 15, 14]
9	[]
10	[89, 83, 38, 18, 85, 55, 53, 41, 29, 11]
11	[12, 10]
12	[18, 8, 35477, 53, 11, 1]
13	[20, 17, 15, 4, 1]
14	[80, 77, 74, 72, 50, 27, 18, 17, 15, 8]
15	[77, 74, 72, 18, 14, 13, 8]
16	[17, 8, 85, 55, 41, 29, 4, 3]
17	[16, 50, 14, 13]
18	[12, 10, 83, 80, 77, 74, 72, 53, 38, 27]
19	[53, 28, 26, 6, 4, 1]
20	[44846, 35633, 30257, 13]
21	[]
22	[]
23	[]
24	[]
25	[]
26	[53, 28, 19]
27	[80, 77, 74, 72, 37, 18, 14, 8]
28	[53, 26, 19]
29	[89, 85, 83, 55, 41, 38, 30, 16, 10, 3]
30	[89, 83, 38, 35477, 85, 55, 53, 41, 29, 4]
31	[]
32	[]
33	[]
34	[]
35	[]
36	[]
37	[27]
38	[83, 89, 85, 30, 10, 72, 55, 53, 46, 41]
39	[]
40	[]
41	[55, 38737, 1532, 89, 85, 83, 38, 30, 29, 16]
42	[]
43	[]
44	[]
45	[]
46	[85, 83, 72, 38, 4]
47	[]
48	[]
49	[]
50	[17, 14]
51	[]
52	[]
53	[31337, 12570, 89, 83, 38, 30, 28, 26, 19, 18]
54	[]
55	[41, 38737, 1532, 89, 85, 83, 38, 30, 29, 16]
56	[]
57	[]
58	[]
59	[]
60	[]
61	[]
62	[]
63	[]
64	[]
65	[]
66	[]
67	[]
68	[]
69	[]
70	[]
71	[]
72	[85, 83, 80, 77, 74, 46, 38, 27, 18, 15]
73	[]
74	[80, 77, 72, 27, 18, 15, 14, 8]
75	[]
76	[]
77	[80, 74, 72, 27, 18, 15, 14, 8]
78	[]
79	[]
80	[27, 77, 74, 72, 18, 14, 8]
81	[]
82	[]
83	[38, 89, 85, 30, 10, 72, 55, 53, 46, 41]
84	[]
85	[83, 38, 89, 72, 55, 46, 41, 30, 29, 16]
86	[]
87	[]
88	[]
89	[30, 83, 38, 10, 85, 55, 53, 41, 29, 4]
90	[]
91	[]
92	[]
93	[]
94	[]
95	[]
98	[]
39022	[]
111	[]
43121	[]
117	[]
20599	[]
24596	[]
18560	[]
129	[]
134	[]
135	[0]
24714	[]
2755	[]
150	[]
12313	[]
2203	[]
12453	[]
29726	[]
18625	[]
43447	[]
24777	[]
43262	[]
26887	[]
12562	[]
16659	[]
2324	[]
12570	[31337, 53, 0]
33060	[]
12584	[]
33080	[]
20533	[]
10240	[]
47445	[]
12633	[]
26970	[]
12636	[]
12347	[]
2406	[]
2409	[]
2411	[]
2413	[]
35195	[]
10623	[]
12680	[]
12682	[]
22939	[0, 49574, 44887, 44846, 35633, 35589, 34394, 31232, 30691, 30257]
31140	[]
49574	[22939, 1, 0]
20553	[]
49592	[]
444	[]
49226	[]
20557	[]
41444	[]
2062	[]
41456	[]
41457	[]
33269	[]
8703	[]
31232	[44887, 35589, 34394, 30691, 29791, 29724, 28193, 22939, 12846, 5]
8706	[]
8715	[]
49678	[0]
18972	[]
34906	[]
543	[0]
18977	[]
6156	[]
2141	[]
2142	[]
575	[]
8768	[]
19010	[]
439	[]
6157	[]
2644	[]
2646	[]
2648	[]
25177	[]
8795	[]
14943	[]
2659	[]
33380	[]
19049	[]
19051	[]
623	[0]
31347	[]
629	[]
2678	[]
19068	[]
29319	[]
34392	[]
35477	[30, 12, 0]
25239	[]
25247	[]
23202	[]
25256	[]
29379	[]
31435	[]
8932	[]
6893	[]
35585	[]
35589	[0, 44887, 34394, 31232, 30691, 29791, 29724, 28193, 22939, 12846]
49927	[]
47887	[]
19217	[]
13076	[]
35605	[]
35606	[]
35613	[]
35617	[]
29481	[]
16519	[]
35633	[44846, 30257, 22939, 20, 0]
35648	[]
49985	[]
